id,first_name,last_name,position,equipo
375,Michael,Porter Jr.,F,Brooklyn Nets
376,Otto,Porter Jr.,F,Toronto Raptors
377,Bobby,Portis,F,Miami Heat
378,Kristaps,Porzingis,F-C,Golden State Warriors
379,Dwight,Powell,F-C,Dallas Mavericks
380,Norman,Powell,F-G,Chicago Bulls
381,Alex,Poythress,F,Indiana Pacers
382,Billy,Preston,F,Cleveland Cavaliers
383,Taurean,Prince,F,Detroit Pistons
384,Zhou,Qi,F-C,Houston Rockets
385,Ivan,Rabb,F,Memphis Grizzlies
386,Chasson,Randle,G,Denver Nuggets
387,Julius,Randle,F,Brooklyn Nets
388,Zach,Randolph,F,Memphis Grizzlies
389,JJ,Redick,G,Philadelphia 76ers
390,Davon,Reed,G,Denver Nuggets
391,Josh,Richardson,G-F,Miami Heat
392,Malachi,Richardson,G,Sacramento Kings
393,Austin,Rivers,G,Minnesota Timberwolves
394,Andre,Roberson,G-F,Oklahoma City Thunder
395,Glenn,Robinson III,G-F,Indiana Pacers
396,Devin,Robinson,F,Washington Wizards
397,Duncan,Robinson,F,Detroit Pistons
398,Jerome,Robinson,G,Golden State Warriors
399,Mitchell,Robinson,C,Boston Celtics
400,Rajon,Rondo,G,Cleveland Cavaliers
401,Derrick,Rose,G,Memphis Grizzlies
402,Terrence,Ross,G-F,Phoenix Suns
403,Terry,Rozier,G,Miami Heat
404,Ricky,Rubio,G,Cleveland Cavaliers
405,D'Angelo,Russell,G,Memphis Grizzlies
406,Domantas,Sabonis,F,Sacramento Kings
407,Dario,Saric,F,Sacramento Kings
408,Tomas,Satoransky,G-F,Washington Wizards
409,Dennis,Schroder,G,Cleveland Cavaliers
410,Mike,Scott,F,Atlanta Hawks
411,Thabo,Sefolosha,F,Oklahoma City Thunder
412,Wayne,Selden,G-F,New York Knicks
413,Collin,Sexton,G,Los Angeles Lakers
414,Landry,Shamet,G,New York Knicks
415,Iman,Shumpert,G,New York Knicks
416,Pascal,Siakam,F,Indiana Pacers
417,Ben,Simmons,G-F,LA Clippers
418,Jonathon,Simmons,F,San Antonio Spurs
419,Anfernee,Simons,G,Philadelphia 76ers
420,Marcus,Smart,G,Houston Rockets
421,Dennis,Smith Jr.,G,Dallas Mavericks
422,Ish,Smith,G,Charlotte Hornets
423,Jason,Smith,F-C,New Orleans Pelicans
424,JR,Smith,G-F,Denver Nuggets
425,Zhaire,Smith,G,Philadelphia 76ers
426,Tony,Snell,G,New Orleans Pelicans
427,Ray,Spalding,F,Phoenix Suns
428,Omari,Spellman,F,Golden State Warriors
429,Nik,Stauskas,G,Boston Celtics
430,DJ,Stephens,G-F,Milwaukee Bucks
431,Lance,Stephenson,G,Indiana Pacers
432,Edmond,Sumner,G,Charlotte Hornets
433,Caleb,Swanigan,F,Portland Trail Blazers
434,Jayson,Tatum,F,Boston Celtics
435,Jeff,Teague,G,Atlanta Hawks
436,Garrett,Temple,G-F,Toronto Raptors
437,Milos,Teodosic,G,LA Clippers
438,Jared,Terrell,G,Minnesota Timberwolves
439,Daniel,Theis,F,New Orleans Pelicans
440,Isaiah,Thomas,G,Phoenix Suns
441,Khyri,Thomas,G,Detroit Pistons
442,Lance,Thomas,F,New York Knicks
443,Klay,Thompson,G,Dallas Mavericks
444,Tristan,Thompson,C-F,Cleveland Cavaliers
445,Sindarius,Thornwell,G,LA Clippers
446,Anthony,Tolliver,F,Detroit Pistons
447,Karl-Anthony,Towns,C,New York Knicks
448,Gary,Trent Jr.,G,Portland Trail Blazers
449,Allonzo,Trier,G,New York Knicks
450,PJ,Tucker,F,New York Knicks
451,Evan,Turner,G-F,Philadelphia 76ers
452,Myles,Turner,C-F,Milwaukee Bucks
453,Ekpe,Udoh,C-F,Milwaukee Bucks
454,Tyler,Ulis,G,Phoenix Suns
455,Jonas,Valanciunas,C,Denver Nuggets
456,Denzel,Valentine,G,Utah Jazz
457,Jarred,Vanderbilt,F,Los Angeles Lakers
458,Fred,VanVleet,G,Houston Rockets
459,Noah,Vonleh,F,Boston Celtics
460,Nikola,Vucevic,C,Orlando Magic
461,Dwyane,Wade,G,Miami Heat
462,Moritz,Wagner,C,Brooklyn Nets
463,Dion,Waiters,G,Cleveland Cavaliers
464,Lonnie,Walker IV,G,Philadelphia 76ers
465,Kemba,Walker,G,Dallas Mavericks
466,Tyrone,Wallace,G,LA Clippers
467,John,Wall,G,LA Clippers
468,Brad,Wanamaker,G,Washington Wizards
469,T.J.,Warren,F,New York Knicks
470,Yuta,Watanabe,G,Memphis Grizzlies
471,Thomas,Welsh,C,Denver Nuggets
472,Russell,Westbrook,G,Sacramento Kings
473,Derrick,White,G,Boston Celtics
474,Hassan,Whiteside,C,Utah Jazz
475,Andrew,Wiggins,F-G,Miami Heat
476,Robert,Williams III,C-F,Portland Trail Blazers
477,Alan,Williams,F-C,Phoenix Suns
478,C.J.,Williams,G,LA Clippers
479,Johnathan,Williams,F,Los Angeles Lakers
480,Kenrich,Williams,G-F,Oklahoma City Thunder
481,Lou,Williams,G,Atlanta Hawks
482,Marvin,Williams,F,Atlanta Hawks
483,Troy,Williams,F,Memphis Grizzlies
484,D.J.,Wilson,F,Orlando Magic
485,Justise,Winslow,F,Portland Trail Blazers
486,Christian,Wood,F,Los Angeles Lakers
487,Delon,Wright,G,Indiana Pacers
488,Guerschon,Yabusele,F,Chicago Bulls
489,Thaddeus,Young,F,Phoenix Suns
490,Trae,Young,G,Washington Wizards
491,Cody,Zeller,C,New Orleans Pelicans
492,Ante,Zizic,C,Cleveland Cavaliers
493,Ivica,Zubac,C,Indiana Pacers
494,Michael,Smith,,Boston Celtics
495,John,Morton,,Cleveland Cavaliers
496,Howard,Wright,,Orlando Magic
497,Michael,Ansley,,Orlando Magic
498,John,Salley,,Detroit Pistons
499,Dan,Schayes,,Denver Nuggets
500,Mark,Eaton,,Utah Jazz
501,Kevin,Johnson,,Phoenix Suns
502,Danny,Ainge,,Boston Celtics
503,Kenny,Smith,,Houston Rockets
504,Randy,Breuer,,Milwaukee Bucks
505,Herb,Williams,,Indiana Pacers
506,Joe,Wolf,,Denver Nuggets
507,Steve,Johnson,,Sacramento Kings
508,Glen,Rice,,Miami Heat
509,Greg,Foster,,Utah Jazz
510,Larry,Nance,,Phoenix Suns
511,Duane,Ferrell,,Atlanta Hawks
512,Nick,Anderson,,Orlando Magic
513,Joe,Dumars,,Detroit Pistons
514,Jay,Humphries,,Milwaukee Bucks
515,Darrell,Griffith,,Utah Jazz
516,Dan,Majerle,,Phoenix Suns
517,Tom,Chambers,,Oklahoma City Thunder
518,Alaa,Abdelnaby,,Portland Trail Blazers
519,Adrian,Caldwell,,Houston Rockets
520,Vernon,Maxwell,,Houston Rockets
521,Doug,West,,Minnesota Timberwolves
522,Tony,Campbell,,Minnesota Timberwolves
523,Roy,Tarpley,,Dallas Mavericks
524,Anthony,Cook,,Denver Nuggets
525,Todd,Lichti,,Denver Nuggets
526,Tom,Tolbert,,Golden State Warriors
527,Billy,Thompson,,Miami Heat
528,Byron,Irvin,,Portland Trail Blazers
529,Mark,Price,,Cleveland Cavaliers
530,Dominique,Wilkins,,Atlanta Hawks
531,Dennis,Scott,,Orlando Magic
532,Terry,Catledge,,Washington Wizards
533,Bill,Laimbeer,,Detroit Pistons
534,William,Bedford,,Detroit Pistons
535,Ricky,Pierce,,Milwaukee Bucks
536,Blue,Edwards,,Utah Jazz
537,Walter,Palmer,,Utah Jazz
538,Mark,West,,Phoenix Suns
539,Clifford,Robinson,G,Portland Trail Blazers
540,Hakeem,Olajuwon,,Houston Rockets
541,Richard,Coffey,,Minnesota Timberwolves
542,James,Donaldson,,Dallas Mavericks
543,Jerome,Lane,,Denver Nuggets
544,Sarunas,Marciulionis,,Cleveland Cavaliers
545,Grant,Long,,Miami Heat
546,Willie,Burton,,Miami Heat
547,Mark,Alarie,,Washington Wizards
548,Winston,Bennett,,Cleveland Cavaliers
549,Doc,Rivers,,Atlanta Hawks
550,Tim,McCormick,,Oklahoma City Thunder
551,Scott,Skiles,,Orlando Magic
552,Dennis,Rodman,,Detroit Pistons
553,Greg,Anderson,,San Antonio Spurs
554,Jeff,Malone,,Washington Wizards
555,Cedric,Ceballos,,Phoenix Suns
556,Tim,Perry,,Phoenix Suns
557,Buck,Williams,,Brooklyn Nets
558,Dave,Jamerson,,Houston Rockets
559,Scott,Brooks,,Houston Rockets
560,Rolando,Blackman,,Dallas Mavericks
561,Avery,Johnson,,San Antonio Spurs
562,Rod,Higgins,,Golden State Warriors
563,Jon,Sundvold,,San Antonio Spurs
564,A.J.,English,,Washington Wizards
565,John,Battle,,Atlanta Hawks
566,Sam,Vincent,,Orlando Magic
567,Isiah,Thomas,,Detroit Pistons
568,Brad,Lohaus,,Milwaukee Bucks
569,Mike,Brown,,Utah Jazz
570,Kenny,Battle,,Phoenix Suns
571,Danny,Young,,Oklahoma City Thunder
572,Larry,Smith,,Golden State Warriors
573,Pooh,Richardson,,LA Clippers
574,Derek,Harper,,Dallas Mavericks
575,Michael,Adams,,Denver Nuggets
576,Tim,Hardaway,,Golden State Warriors
577,Bimbo,Coles,,Miami Heat
578,Darrell,Walker,,Washington Wizards
579,Kevin,Willis,C,Atlanta Hawks
580,Otis,Smith,,Orlando Magic
581,James,Edwards,,Indiana Pacers
582,Frank,Brickowski,,Milwaukee Bucks
583,Karl,Malone,,Utah Jazz
584,Ian,Lockhart,,Phoenix Suns
585,Kevin,Duckworth,,Portland Trail Blazers
586,Otis,Thorpe,,Houston Rockets
587,Gerald,Glass,,Minnesota Timberwolves
588,Alex,English,,Denver Nuggets
589,T.R.,Dunn,,Denver Nuggets
590,Alton,Lister,,Milwaukee Bucks
591,Sherman,Douglas,,Boston Celtics
592,Charles,Jones,,Washington Wizards
593,Moses,Malone,,Houston Rockets
594,Mark,Acres,,Orlando Magic
595,Lance,Blanks,,Detroit Pistons
596,Jeff,Grayer,,Milwaukee Bucks
597,Chris,Munk,,Utah Jazz
598,Jeff,Hornacek,,Utah Jazz
599,Jerome,Kersey,,Portland Trail Blazers
600,Dave,Feitl,,Houston Rockets
